category,stimulus,conceptual,perceptual,rt,n,typicality,p_typicality,p_conceptual,p_perceptual
living_rooms,stimuli/living_room/img_hc49v.png,70.95121951219512,53.31707317073171,10777.63414634146,41,62.13414634146342,6,6,6
living_rooms,stimuli/living_room/img_xy930.png,70.5952380952381,49.47619047619047,18279.80952380952,42,60.03571428571429,6,6,6
living_rooms,stimuli/living_room/img_iudc4.png,73.625,52.275,11135.625,40,62.95,6,6,6
living_rooms,stimuli/living_room/img_qz292.png,78.26666666666667,59.13333333333333,8884.533333333333,45,68.7,7,7,7
living_rooms,stimuli/living_room/img_i6wsx.png,79.07142857142857,58,57990.5,42,68.53571428571428,7,7,7
living_rooms,stimuli/living_room/img_xu1p3.png,75.27659574468085,56.68085106382978,10695.72340425532,47,65.97872340425532,7,7,7
living_rooms,stimuli/living_room/img_4974k.png,79.8913043478261,58.19565217391305,6650.826086956522,46,69.04347826086956,7,7,7
living_rooms,stimuli/living_room/img_tbs4n.png,78.95744680851064,58.97872340425532,9978.702127659575,47,68.96808510638297,7,7,7
living_rooms,stimuli/living_room/img_2qhro.png,81.73809523809524,62.73809523809524,8682.404761904761,42,72.23809523809524,8,8,8
living_rooms,stimuli/living_room/img_o30wb.png,81.06666666666666,65.37777777777778,8387.355555555556,45,73.22222222222223,8,8,8
living_rooms,stimuli/living_room/img_9oofc.png,82.47619047619048,65.5,6334.047619047619,42,73.98809523809524,8,8,8
living_rooms,stimuli/living_room/img_a9he3.png,83.06521739130434,63.95652173913044,8937.239130434782,46,73.51086956521739,8,8,8
living_rooms,stimuli/living_room/img_16kib.png,80.97727272727273,61.11363636363637,13210.63636363636,44,71.04545454545455,8,8,8
living_rooms,stimuli/living_room/img_6zz63.png,87.66666666666667,70.6,6514.444444444444,45,79.13333333333333,9,10,10
living_rooms,stimuli/living_room/img_amsgw.png,86.08510638297872,65.95744680851064,8426.978723404256,47,76.02127659574468,9,9,9
living_rooms,stimuli/living_room/img_5jp4f.png,84.85714285714286,67.83333333333333,6770.857142857143,42,76.3452380952381,9,9,9
living_rooms,stimuli/living_room/img_bf8nx.png,86.63414634146342,66.63414634146342,10041.31707317073,41,76.63414634146342,9,9,9
living_rooms,stimuli/living_room/img_0jzz7.png,84.85106382978724,68.87234042553192,7856.446808510638,47,76.86170212765958,9,9,9
living_rooms,stimuli/living_room/img_vgh2g.png,93.81395348837209,78.27906976744185,5958.720930232558,43,86.04651162790697,10,10,10
living_rooms,stimuli/living_room/img_x9w7o.png,92.38888888888889,72.94444444444444,10789.91666666667,36,82.66666666666666,10,10,10
living_rooms,stimuli/living_room/img_dg5h7.png,88.72093023255815,76.06976744186046,7078.46511627907,43,82.3953488372093,10,10,10
living_rooms,stimuli/living_room/img_t3d7r.png,89.5952380952381,78.4047619047619,8183.809523809524,42,84,10,10,10
living_rooms,stimuli/living_room/img_9wmp8.png,90.47619047619048,76.80952380952381,8094.5,42,83.64285714285714,10,10,10
